id_venda,id_cliente,id_produto,quantidade,data_venda,valor_total
1,6,14,5,2025-01-17,124.5
2,13,13,5,2025-04-30,74.5
3,17,9,5,2025-01-03,449.5
4,22,4,5,2025-03-10,999.5
5,25,11,1,2025-03-17,129.9
6,14,6,4,2025-01-01,239.6
7,24,9,5,2025-02-15,449.5
8,17,4,3,2025-06-13,599.7
9,17,7,2,2025-04-06,149.8
10,25,6,5,2025-05-16,299.5
11,30,1,5,2025-03-24,449.5
13,29,10,2,2025-01-15,79.8
14,8,19,1,2025-01-22,99.9
15,24,16,1,2025-05-17,44.9
16,25,5,2,2025-06-18,259.8
18,17,14,2,2025-05-19,49.8
19,25,7,3,2025-04-13,224.7
20,22,12,4,2025-05-13,639.6
22,3,11,1,2025-05-31,129.9
23,18,8,5,2025-02-26,149.5
24,1,3,1,2025-02-28,39.9
25,3,2,3,2025-01-19,149.7
26,17,8,3,2025-06-21,89.7
28,24,19,5,2025-05-02,499.5
29,8,16,4,2025-02-18,179.6
30,4,4,4,2025-04-01,799.6
31,14,14,4,2025-01-14,99.6
32,22,4,1,2025-04-14,199.9
33,24,11,1,2025-03-05,129.9
34,7,7,5,2025-04-25,374.5
35,5,14,2,2025-03-13,49.8
37,26,18,1,2025-01-13,69.9
39,30,8,2,2025-04-15,59.8
41,29,2,2,2025-04-08,99.8
43,10,14,5,2025-06-19,124.5
44,23,16,2,2025-02-18,89.8
45,10,7,1,2025-05-29,74.9
46,24,18,1,2025-03-22,69.9
48,17,17,2,2025-01-15,99.8
49,17,3,2,2025-01-18,79.8
50,20,3,2,2025-04-14,79.8
51,4,19,2,2025-05-29,199.8
53,14,19,5,2025-05-14,499.5
54,11,9,2,2025-06-21,179.8
55,23,11,2,2025-03-09,259.8
56,13,5,3,2025-04-28,389.7
57,11,3,1,2025-04-28,39.9
58,20,19,1,2025-01-19,99.9
59,18,7,5,2025-03-09,374.5
60,5,12,1,2025-03-04,159.9
62,27,18,3,2025-06-06,209.7
63,26,17,1,2025-06-20,49.9
64,27,18,3,2025-06-19,209.7
65,4,5,3,2025-01-30,389.7
66,29,4,5,2025-02-09,999.5
67,9,10,5,2025-02-23,199.5
68,23,11,2,2025-06-25,259.8
69,21,9,5,2025-05-06,449.5
70,9,2,1,2025-06-12,49.9
71,14,9,1,2025-01-01,89.9
72,11,5,3,2025-02-11,389.7
73,24,15,5,2025-06-30,164.5
74,14,18,1,2025-01-29,69.9
76,27,12,5,2025-05-22,799.5
77,5,14,2,2025-01-11,49.8
79,7,8,1,2025-04-01,29.9
80,25,18,4,2025-06-08,279.6
81,24,5,2,2025-02-11,259.8
82,26,6,4,2025-01-07,239.6
83,6,11,4,2025-06-21,519.6
84,28,8,3,2025-02-10,89.7
87,27,15,3,2025-03-20,98.7
88,27,8,2,2025-01-07,59.8
89,22,7,4,2025-03-26,299.6
90,9,3,3,2025-03-31,119.7
91,21,17,4,2025-06-23,199.6
92,27,18,3,2025-01-08,209.7
93,4,9,2,2025-05-29,179.8
