id_produto,nome,categoria,preco,ativo
1,Fone de Ouvido Bluetooth,Eletrônicos,89.9,1
2,Carregador USB-C 20W,Eletrônicos,49.9,1
3,Mouse sem Fio,Eletrônicos,39.9,1
4,Teclado Mecânico,Eletrônicos,199.9,1
5,Caixa de Som Portátil,Eletrônicos,129.9,1
6,Python para Iniciantes,Livros,59.9,1
7,Introdução a Banco de Dados,Livros,74.9,1
8,Contos de Machado de Assis,Livros,29.9,0
9,Engenharia de Dados na Prática,Livros,89.9,0
10,Camiseta Básica,Roupas,39.9,1
11,Calça Jeans,Roupas,129.9,1
12,Jaqueta Corta-Vento,Roupas,159.9,1
13,Meias (par),Roupas,14.9,1
14,Café Torrado 500g,Alimentos,24.9,1
15,Barra de Cereal (cx 12un),Alimentos,32.9,1
16,Azeite Extra Virgem 500ml,Alimentos,44.9,1
17,Quebra-Cabeça 500 peças,Brinquedos,49.9,1
18,Boneco de Ação,Brinquedos,69.9,1
19,Jogo de Tabuleiro,Brinquedos,99.9,1
